OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
5.20351,602,0,,A,PU,MEAN,,,,False,ITU_GCI,ITU_GCI_GCI_OVRL_SCRE,AFG,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
64.3211,602,0,,A,PU,MEAN,,,,False,ITU_GCI,ITU_GCI_GCI_OVRL_SCRE,ALB,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
33.9496,602,0,,A,PU,MEAN,,,,False,ITU_GCI,ITU_GCI_GCI_OVRL_SCRE,DZA,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
26.3785,602,0,,A,PU,MEAN,,,,False,ITU_GCI,ITU_GCI_GCI_OVRL_SCRE,AND,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
12.9941,602,0,,A,PU,MEAN,,,,False,ITU_GCI,ITU_GCI_GCI_OVRL_SCRE,AGO,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
15.6152,602,0,,A,PU,MEAN,,,,False,ITU_GCI,ITU_GCI_GCI_OVRL_SCRE,ATG,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
50.119,602,0,,A,PU,MEAN,,,,False,ITU_GCI,ITU_GCI_GCI_OVRL_SCRE,ARG,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
50.4741,602,0,,A,PU,MEAN,,,,False,ITU_GCI,ITU_GCI_GCI_OVRL_SCRE,ARM,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
97.4674,602,0,,A,PU,MEAN,,,,False,ITU_GCI,ITU_GCI_GCI_OVRL_SCRE,AUS,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
93.8931,602,0,,A,PU,MEAN,,,,False,ITU_GCI,ITU_GCI_GCI_OVRL_SCRE,AUT,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
