economy_name,iso3,idi_score,idi_2023,year,region,income_group
Afghanistan,AFG,33.1,28.9,2024,ASP,LI
Albania,ALB,84.7,81.6,2024,EUR,UMI
Algeria,DZA,80.9,77.8,2024,ARB,LMI
Andorra,AND,88.8,87.2,2024,EUR,HI
Angola,AGO,49.9,44.1,2024,AFR,LMI
Argentina,ARG,83.4,81.5,2024,AMS,UMI
Armenia,ARM,86.4,85.1,2024,CIS,UMI
Australia,AUS,95.1,94.0,2024,ASP,HI
Austria,AUT,94.3,92.5,2024,EUR,HI
Azerbaijan,AZE,80.4,79.0,2024,CIS,UMI
Bahamas,BHS,89.3,88.5,2024,AMS,HI
Bahrain,BHR,97.5,96.5,2024,ARB,HI
Bangladesh,BGD,62.0,61.1,2024,ASP,LMI
Barbados,BRB,77.5,77.3,2024,AMS,HI
Belarus,BLR,88.5,86.9,2024,CIS,UMI
Belgium,BEL,89.3,88.2,2024,EUR,HI
Benin,BEN,45.4,38.3,2024,AFR,LMI
Bhutan,BTN,85.9,76.5,2024,ASP,LMI
Bolivia (Plurinational State of),BOL,69.4,68.0,2024,AMS,LMI
Bosnia and Herzegovina,BIH,78.6,76.6,2024,EUR,UMI
Botswana,BWA,78.7,74.0,2024,AFR,UMI
Brazil,BRA,82.0,81.9,2024,AMS,UMI
Brunei Darussalam,BRN,95.7,94.8,2024,ASP,HI
Bulgaria,BGR,88.7,85.6,2024,EUR,UMI
Burkina Faso,BFA,30.1,28.5,2024,AFR,LI
Burundi,BDI,24.4,23.0,2024,AFR,LI
Cabo Verde,CPV,69.1,68.1,2024,AFR,LMI
Cambodia,KHM,72.6,68.5,2024,ASP,LMI
Cameroon,CMR,44.2,36.8,2024,AFR,LMI
Canada,CAN,88.6,87.2,2024,AMS,HI
Chad,TCD,21.3,20.0,2024,AFR,LI
Chile,CHL,91.7,90.7,2024,AMS,HI
China,CHN,85.8,84.4,2024,ASP,UMI
Colombia,COL,73.2,71.9,2024,AMS,UMI
Comoros,COM,46.5,43.5,2024,ARB,LMI
Congo (Rep. of the),COG,30.7,29.2,2024,AFR,LMI
Costa Rica,CRI,84.8,83.9,2024,AMS,UMI
C�te d'Ivoire,,65.3,59.0,2024,AFR,LMI
Croatia,HRV,89.6,87.1,2024,EUR,HI
Cyprus,CYP,88.6,87.4,2024,EUR,HI
