country,iso3,action,description,indicator,target_axis,current_value,new_value,baseline_axis_score,new_axis_score,delta_axis_score,baseline_composite,new_composite,delta_composite,baseline_rank,new_rank,delta_rank,shift_artifact_flagged
United Kingdom,GBR,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,5.0,6.0,1.075,1.162,0.087,2.256,2.285,0.029,2,1,-1,False
Canada,CAN,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,-0.272,-0.185,0.087,1.431,1.487,0.056,8,7,-1,False
France,FRA,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,1.0,2.0,0.679,0.766,0.087,1.993,2.025,0.032,3,3,0,False
Germany,DEU,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,1.0,3.0,0.137,0.496,0.359,1.481,1.599,0.118,7,7,0,False
Germany,DEU,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,-0.025,0.42,0.444,1.481,1.674,0.193,7,7,0,False
Germany,DEU,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,-0.025,0.062,0.087,1.481,1.524,0.042,7,7,0,False
Japan,JPN,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,1.0,2.0,0.427,0.514,0.087,1.827,1.862,0.035,4,4,0,False
India,IND,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,1.0,3.0,-0.426,-0.067,0.359,0.109,0.122,0.013,13,13,0,False
India,IND,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,-0.378,0.067,0.444,0.109,0.131,0.022,13,13,0,False
India,IND,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,-0.378,-0.291,0.087,0.109,0.115,0.005,13,13,0,False
Israel,ISR,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,0.0,3.0,-0.632,-0.094,0.538,0.144,0.173,0.029,12,12,0,False
Israel,ISR,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,-0.906,-0.462,0.444,0.144,0.603,0.459,12,10,-2,False
Israel,ISR,JOIN_AUSTRALIA_GROUP,Join Australia Group export-control regime,G6_australia_group,governance_orientation,0.0,1.0,-0.906,-0.674,0.232,0.144,0.144,0.0,12,12,0,True
Israel,ISR,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,1.0,2.0,-0.906,-0.819,0.087,0.144,0.144,0.0,12,12,0,True
Singapore,SGP,JOIN_AUSTRALIA_GROUP,Join Australia Group export-control regime,G6_australia_group,governance_orientation,0.0,1.0,0.11,0.342,0.232,1.797,1.911,0.114,6,4,-2,False
Singapore,SGP,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,0.11,0.197,0.087,1.797,1.842,0.045,6,4,-2,False
South Korea,KOR,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,1.0,2.0,0.77,0.857,0.087,2.256,2.29,0.034,1,1,0,False
Sweden,SWE,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,0.0,3.0,-0.906,-0.368,0.538,1.195,1.518,0.323,9,7,-2,False
Sweden,SWE,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,0.239,0.683,0.444,1.195,1.318,0.123,9,9,0,False
Sweden,SWE,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,0.239,0.326,0.087,1.195,1.221,0.027,9,9,0,False
Saudi Arabia,SAU,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,0.0,3.0,-0.65,-0.112,0.538,0.856,1.031,0.174,11,10,-1,False
Saudi Arabia,SAU,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,-0.579,-0.135,0.444,0.856,1.107,0.251,11,10,-1,False
Saudi Arabia,SAU,JOIN_AUSTRALIA_GROUP,Join Australia Group export-control regime,G6_australia_group,governance_orientation,0.0,1.0,-0.579,-0.347,0.232,0.856,1.005,0.149,11,10,-1,False
Saudi Arabia,SAU,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,-0.579,-0.492,0.087,0.856,0.919,0.063,11,11,0,False
United Arab Emirates,ARE,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,0.0,3.0,-0.579,-0.041,0.538,0.954,1.136,0.182,10,10,0,False
