iso3,name,mpapi_composite_lit,gairi_2024_overall,mpapi_rank,gairi_rank,rank_diff
GBR,United Kingdom,2.2139,78.88,1,4,-3
KOR,South Korea,2.1625,79.98,2,2,0
FRA,France,1.9576,79.36,3,3,0
JPN,Japan,1.7689,75.75,4,7,-3
SGP,Singapore,1.7666,84.25,5,1,4
DEU,Germany,1.3979,76.9,6,6,0
CAN,Canada,1.35,78.18,7,5,2
SWE,Sweden,1.0366,75.4,8,9,-1
ARE,United Arab Emirates,0.8826,75.66,9,8,1
SAU,Saudi Arabia,0.8128,72.36,10,12,-2
ISR,Israel,0.1346,74.52,11,11,0
IND,India,0.104,62.81,12,13,-1
TWN,Taiwan,0.06,74.58,13,10,3
