iso3,name,eq_capacity_depth,eq_governance_orientation,eq_infrastructure_posture,pca_capacity_depth,pca_governance_orientation,pca_infrastructure_posture,lit_capacity_depth,lit_governance_orientation,lit_infrastructure_posture,composite_equal,composite_pca,composite_literature
KOR,South Korea,0.985,0.699,0.478,0.801,0.695,0.558,0.937,0.77,0.485,2.096,2.367,2.256
GBR,United Kingdom,0.5,1.287,0.435,0.78,1.126,0.456,0.693,1.075,0.406,2.147,2.49,2.256
FRA,France,0.421,0.66,0.208,0.69,0.752,0.314,0.654,0.679,0.012,1.823,2.283,1.993
JPN,Japan,0.385,0.492,0.239,0.311,0.667,0.287,0.329,0.427,0.227,1.745,2.108,1.827
EUU,European Union,1.147,0.185,0.129,1.325,0.594,0.083,1.18,-0.069,0.033,1.781,2.343,1.798
SGP,Singapore,0.045,-0.176,0.881,0.178,-0.444,0.919,0.242,0.11,0.996,1.372,1.668,1.797
DEU,Germany,0.106,-0.004,0.218,0.193,0.107,0.433,0.137,-0.025,-0.091,1.393,1.875,1.481
CAN,Canada,0.442,-0.031,-0.073,0.581,0.508,0.075,0.582,-0.272,-0.279,1.42,2.084,1.431
SWE,Sweden,-0.871,0.172,0.571,-0.934,0.198,0.582,-0.906,0.239,0.61,1.034,1.372,1.195
ARE,United Arab Emirates,-0.573,-0.779,0.047,-0.686,-1.248,-0.178,-0.579,-0.554,0.313,0.337,0.395,0.954
SAU,Saudi Arabia,-0.509,-0.802,-0.351,-0.676,-1.281,-0.51,-0.65,-0.579,-0.106,0.113,0.116,0.856
ISR,Israel,-0.679,-0.756,-0.554,-0.762,-0.622,-0.709,-0.632,-0.906,-0.447,0.36,0.936,0.144
IND,India,-0.124,-0.349,-2.229,-0.263,-0.461,-2.312,-0.426,-0.378,-2.161,0.081,0.101,0.109
TWN,Taiwan,-1.276,-0.597,0.0,-1.536,-0.592,0.0,-1.561,-0.516,0.0,0.077,0.117,0.06
