iso3,name,indicator,axis,raw_value,transform,value_used,provenance_class,source,url
GBR,United Kingdom,C1_notable_models,capacity_depth,164.0,log1p,5.1059,programmatic,Epoch AI - Notable AI Models,https://epoch.ai/data/all_ai_models.csv
GBR,United Kingdom,C2_training_compute,capacity_depth,3.6854070085608235e+24,log1p,56.5664,programmatic,Epoch AI - Notable AI Models,https://epoch.ai/data/all_ai_models.csv
GBR,United Kingdom,C3_ai_publications,capacity_depth,35750.0,log1p,10.4843,programmatic,OpenAlex Works API (concept C154945302),https://api.openalex.org/works
GBR,United Kingdom,C4_ai_patents,capacity_depth,0.52,log1p,0.4187,programmatic,"Stanford AI Index 2025, Fig 1.2.3",https://hai.stanford.edu/ai-index
GBR,United Kingdom,C5_aisi_presence,capacity_depth,3.0,none,3.0,analyst_coded,AISI Network (NIST) + per-country citations (4.9.1),https://www.nist.gov/news-events/news/2024/11/fact-sheet-us-department-commerce-us-department-state-launch-international
GBR,United Kingdom,G1_ai_strategy,governance_orientation,3.0,none,3.0,analyst_coded,OECD.AI Policy Observatory + per-country citations (4.9.1),https://oecd.ai/en/dashboards/national
GBR,United Kingdom,G2_global_cybersec_index,governance_orientation,100.0,none,100.0,programmatic,ITU GCI 2024 (via World Bank Data360),https://datahub.itu.int
GBR,United Kingdom,G3_vdem_libdem,governance_orientation,0.689,none,0.689,programmatic,V-Dem v16 (v2x_libdem),https://www.v-dem.net
GBR,United Kingdom,G5_igsc_membership,governance_orientation,5.0,none,5.0,programmatic,IGSC member roster,https://genesynthesisconsortium.org/
GBR,United Kingdom,G6_australia_group,governance_orientation,1.0,none,1.0,inlined_authoritative,Australia Group - Participants,https://www.australiagroup.net/en/participants.html
GBR,United Kingdom,I1_idi_2024,infrastructure_posture,93.6,none,93.6,programmatic,"ITU IDI 2024, Report Table 1",https://www.itu.int
GBR,United Kingdom,I2_broadband,infrastructure_posture,42.1648,none,42.1648,programmatic,World Bank WDI IT.NET.BBND.P2,https://data.worldbank.org
GBR,United Kingdom,I3_secure_servers,infrastructure_posture,68449.1954,log1p,11.1339,programmatic,World Bank WDI IT.NET.SECR.P6,https://data.worldbank.org
GBR,United Kingdom,I5_ndgain_readiness,infrastructure_posture,0.6813,none,0.6813,programmatic,ND-GAIN Country Index 2026,https://gain.nd.edu
CAN,Canada,C1_notable_models,capacity_depth,77.0,log1p,4.3567,programmatic,Epoch AI - Notable AI Models,https://epoch.ai/data/all_ai_models.csv
CAN,Canada,C2_training_compute,capacity_depth,1.506225330620001e+24,log1p,55.6716,programmatic,Epoch AI - Notable AI Models,https://epoch.ai/data/all_ai_models.csv
CAN,Canada,C3_ai_publications,capacity_depth,19093.0,log1p,9.8571,programmatic,OpenAlex Works API (concept C154945302),https://api.openalex.org/works
CAN,Canada,C4_ai_patents,capacity_depth,,log1p,,imputed_column_mean,"Stanford AI Index 2025, Fig 1.2.3",https://hai.stanford.edu/ai-index
CAN,Canada,C5_aisi_presence,capacity_depth,3.0,none,3.0,analyst_coded,AISI Network (NIST) + per-country citations (4.9.1),https://www.nist.gov/news-events/news/2024/11/fact-sheet-us-department-commerce-us-department-state-launch-international
CAN,Canada,G1_ai_strategy,governance_orientation,3.0,none,3.0,analyst_coded,OECD.AI Policy Observatory + per-country citations (4.9.1),https://oecd.ai/en/dashboards/national
CAN,Canada,G2_global_cybersec_index,governance_orientation,93.1779,none,93.1779,programmatic,ITU GCI 2024 (via World Bank Data360),https://datahub.itu.int
CAN,Canada,G3_vdem_libdem,governance_orientation,0.736,none,0.736,programmatic,V-Dem v16 (v2x_libdem),https://www.v-dem.net
CAN,Canada,G5_igsc_membership,governance_orientation,0.0,none,0.0,programmatic,IGSC member roster,https://genesynthesisconsortium.org/
CAN,Canada,G6_australia_group,governance_orientation,1.0,none,1.0,inlined_authoritative,Australia Group - Participants,https://www.australiagroup.net/en/participants.html
CAN,Canada,I1_idi_2024,infrastructure_posture,88.6,none,88.6,programmatic,"ITU IDI 2024, Report Table 1",https://www.itu.int
CAN,Canada,I2_broadband,infrastructure_posture,42.5238,none,42.5238,programmatic,World Bank WDI IT.NET.BBND.P2,https://data.worldbank.org
CAN,Canada,I3_secure_servers,infrastructure_posture,39712.7546,log1p,10.5895,programmatic,World Bank WDI IT.NET.SECR.P6,https://data.worldbank.org
