iso3,name,mds_1,mds_2,stress_global,distance_rank_spearman_rho
GBR,United Kingdom,1.1632,-4.4922,100.8905,0.9099
CAN,Canada,2.8817,-0.6507,100.8905,0.9099
FRA,France,1.3984,-2.0616,100.8905,0.9099
DEU,Germany,1.65,0.3876,100.8905,0.9099
JPN,Japan,0.2197,-1.4755,100.8905,0.9099
IND,India,3.3416,4.4311,100.8905,0.9099
ISR,Israel,0.0369,3.0221,100.8905,0.9099
SGP,Singapore,-3.1923,-2.0773,100.8905,0.9099
KOR,South Korea,-0.8739,-3.3448,100.8905,0.9099
SWE,Sweden,-1.2947,0.7846,100.8905,0.9099
SAU,Saudi Arabia,-3.9032,2.2928,100.8905,0.9099
ARE,United Arab Emirates,-3.7708,1.3553,100.8905,0.9099
EUU,European Union,3.4373,-2.028,100.8905,0.9099
TWN,Taiwan,-1.0937,3.8566,100.8905,0.9099
