iso3,C1_notable_models,C2_training_compute,C3_ai_publications,C4_ai_patents,C5_aisi_presence,G1_ai_strategy,G2_global_cybersec_index,G3_vdem_libdem,G4_lab_mou_count,G5_igsc_membership,G6_australia_group,I1_idi_2024,I2_broadband,I3_secure_servers,I5_ndgain_readiness
GBR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAN,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
FRA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DEU,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
JPN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IND,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ISR,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
SGP,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOR,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
SWE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SAU,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ARE,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
EUU,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
TWN,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True
