iso3,scheme_code,scheme_label,axis_code,axis_label,score,is_composite,rank
GBR,equal,Equal,capacity_depth,Capacity Depth,0.49999573048926893,0,
KOR,equal,Equal,capacity_depth,Capacity Depth,0.9853338775087056,0,
FRA,equal,Equal,capacity_depth,Capacity Depth,0.42120283206049874,0,
EUU,equal,Equal,capacity_depth,Capacity Depth,1.146903321243986,0,
JPN,equal,Equal,capacity_depth,Capacity Depth,0.38509967431967185,0,
SGP,equal,Equal,capacity_depth,Capacity Depth,0.04512267232975592,0,
CAN,equal,Equal,capacity_depth,Capacity Depth,0.44243844594395537,0,
DEU,equal,Equal,capacity_depth,Capacity Depth,0.10622072930915785,0,
SWE,equal,Equal,capacity_depth,Capacity Depth,-0.871392186811841,0,
ARE,equal,Equal,capacity_depth,Capacity Depth,-0.5732828355593439,0,
SAU,equal,Equal,capacity_depth,Capacity Depth,-0.5090395566341415,0,
ISR,equal,Equal,capacity_depth,Capacity Depth,-0.6787420057597767,0,
IND,equal,Equal,capacity_depth,Capacity Depth,-0.12418480117153952,0,
TWN,equal,Equal,capacity_depth,Capacity Depth,-1.2756758972683504,0,
GBR,equal,Equal,governance_orientation,Governance Orientation,1.5518332388011569,0,
KOR,equal,Equal,governance_orientation,Governance Orientation,0.4332000791717731,0,
FRA,equal,Equal,governance_orientation,Governance Orientation,0.6102657278054285,0,
EUU,equal,Equal,governance_orientation,Governance Orientation,0.2154114123654582,0,
JPN,equal,Equal,governance_orientation,Governance Orientation,0.47056370533334796,0,
SGP,equal,Equal,governance_orientation,Governance Orientation,-0.08607163902258747,0,
CAN,equal,Equal,governance_orientation,Governance Orientation,0.035326526511974723,0,
DEU,equal,Equal,governance_orientation,Governance Orientation,-0.15269926663719735,0,
SWE,equal,Equal,governance_orientation,Governance Orientation,-0.0060703417966125744,0,
ARE,equal,Equal,governance_orientation,Governance Orientation,-0.5890298312348372,0,
SAU,equal,Equal,governance_orientation,Governance Orientation,-0.6080705865634048,0,
ISR,equal,Equal,governance_orientation,Governance Orientation,-0.7784727339860631,0,
IND,equal,Equal,governance_orientation,Governance Orientation,-0.4395590074845359,0,
TWN,equal,Equal,governance_orientation,Governance Orientation,-0.6566272832639153,0,
GBR,equal,Equal,infrastructure_posture,Infrastructure Posture,0.4354107040350479,0,
KOR,equal,Equal,infrastructure_posture,Infrastructure Posture,0.47848803449655664,0,
FRA,equal,Equal,infrastructure_posture,Infrastructure Posture,0.2076642293387177,0,
EUU,equal,Equal,infrastructure_posture,Infrastructure Posture,0.12930440196480425,0,
JPN,equal,Equal,infrastructure_posture,Infrastructure Posture,0.23871554909280682,0,
SGP,equal,Equal,infrastructure_posture,Infrastructure Posture,0.8807747430071946,0,
CAN,equal,Equal,infrastructure_posture,Infrastructure Posture,-0.07288047947968242,0,
DEU,equal,Equal,infrastructure_posture,Infrastructure Posture,0.21802234509711665,0,
SWE,equal,Equal,infrastructure_posture,Infrastructure Posture,0.571397024699048,0,
ARE,equal,Equal,infrastructure_posture,Infrastructure Posture,0.04735192380247427,0,
SAU,equal,Equal,infrastructure_posture,Infrastructure Posture,-0.3505195467685149,0,
