iso3,country,group,action,action_label,n_required_enablers,n_proxied_enablers,coverage,readiness,readiness_conservative
GBR,United Kingdom,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,1.256,0.837
GBR,United Kingdom,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,0.615,0.41
GBR,United Kingdom,Detection,VERIFICATION,Build verification capacity,3,3,1.0,1.528,1.528
GBR,United Kingdom,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,0.395,0.264
GBR,United Kingdom,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,0.553,0.553
GBR,United Kingdom,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,0.89,0.593
GBR,United Kingdom,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,2.155,1.437
GBR,United Kingdom,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,1.138,1.138
GBR,United Kingdom,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,0.553,0.553
CAN,Canada,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,0.317,0.211
CAN,Canada,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,-0.014,-0.01
CAN,Canada,Detection,VERIFICATION,Build verification capacity,3,3,1.0,-0.196,-0.196
CAN,Canada,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,0.164,0.109
CAN,Canada,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,-0.025,-0.025
CAN,Canada,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,0.127,0.085
CAN,Canada,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,-0.277,-0.185
CAN,Canada,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,-0.127,-0.127
CAN,Canada,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,-0.025,-0.025
FRA,France,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,0.685,0.457
FRA,France,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,0.369,0.246
FRA,France,Detection,VERIFICATION,Build verification capacity,3,3,1.0,0.321,0.321
FRA,France,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,0.204,0.136
FRA,France,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,0.389,0.389
FRA,France,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,0.77,0.513
FRA,France,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,0.519,0.346
FRA,France,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,0.161,0.161
FRA,France,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,0.389,0.389
DEU,Germany,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,0.125,0.083
DEU,Germany,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,0.138,0.092
DEU,Germany,Detection,VERIFICATION,Build verification capacity,3,3,1.0,-0.095,-0.095
DEU,Germany,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,0.226,0.151
DEU,Germany,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,-0.176,-0.176
DEU,Germany,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,-0.072,-0.048
DEU,Germany,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,-0.534,-0.356
DEU,Germany,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,-0.049,-0.049
DEU,Germany,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,-0.176,-0.176
JPN,Japan,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,0.357,0.238
JPN,Japan,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,0.148,0.099
JPN,Japan,Detection,VERIFICATION,Build verification capacity,3,3,1.0,0.173,0.173
JPN,Japan,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,0.294,0.196
JPN,Japan,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,0.363,0.363
JPN,Japan,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,0.343,0.229
JPN,Japan,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,0.421,0.281
JPN,Japan,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,0.26,0.26
JPN,Japan,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,0.363,0.363
IND,India,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,-0.071,-0.047
IND,India,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,-1.093,-0.729
IND,India,Detection,VERIFICATION,Build verification capacity,3,3,1.0,-0.915,-0.915
IND,India,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,0.359,0.239
IND,India,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,-1.034,-1.034
IND,India,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,-0.223,-0.148
IND,India,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,-0.49,-0.327
IND,India,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,-0.501,-0.501
IND,India,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,-1.034,-1.034
ISR,Israel,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,-0.75,-0.5
ISR,Israel,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,-0.573,-0.382
ISR,Israel,Detection,VERIFICATION,Build verification capacity,3,3,1.0,-0.307,-0.307
ISR,Israel,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,-0.744,-0.496
ISR,Israel,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,-0.651,-0.651
ISR,Israel,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,-1.015,-0.677
ISR,Israel,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,-0.554,-0.369
ISR,Israel,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,-0.428,-0.428
ISR,Israel,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,-0.651,-0.651
SGP,Singapore,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,-0.159,-0.106
SGP,Singapore,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,0.495,0.33
SGP,Singapore,Detection,VERIFICATION,Build verification capacity,3,3,1.0,0.144,0.144
SGP,Singapore,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,-0.331,-0.22
SGP,Singapore,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,0.677,0.677
SGP,Singapore,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,0.465,0.31
SGP,Singapore,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,0.189,0.126
