iso3,name,baseline_rank,weight_p_top5,weight_p_bot3,joint_s05_p_top5,joint_s05_p_bot3,joint_s10_p_top5,joint_s10_p_bot3,joint_s10_rank_median,joint_s10_rank_lo,joint_s10_rank_hi,weight_rank_lo,weight_rank_hi
KOR,South Korea,1,0.9803,0.0,0.9768,0.0,0.9736,0.0,2,1.0,6.0,1.0,5.0
GBR,United Kingdom,2,0.9859,0.0001,0.9842,0.0,0.9863,0.0,2,1.0,5.0,1.0,5.0
FRA,France,3,0.8501,0.0008,0.8503,0.0002,0.8481,0.0,4,2.0,7.0,2.0,7.0
JPN,Japan,4,0.8098,0.0,0.8142,0.0,0.8099,0.0,5,2.0,7.0,2.0,7.0
EUU,European Union,5,0.7583,0.0006,0.7556,0.0003,0.7342,0.0013,4,1.0,10.0,1.0,9.0
SGP,Singapore,6,0.275,0.0007,0.27,0.0007,0.2786,0.0007,7,1.0,10.0,1.0,10.0
DEU,Germany,7,0.1307,0.0024,0.1261,0.0024,0.1283,0.0028,7,4.0,10.0,4.0,9.0
CAN,Canada,8,0.1129,0.0425,0.1259,0.044,0.128,0.0463,7,3.0,12.0,4.0,12.0
SWE,Sweden,9,0.0881,0.1368,0.0833,0.1128,0.092,0.0829,9,4.0,13.0,4.0,14.0
ARE,United Arab Emirates,10,0.0068,0.2728,0.008,0.2975,0.0102,0.3242,11,7.0,13.0,7.0,13.0
SAU,Saudi Arabia,11,0.0013,0.5567,0.003,0.5638,0.0042,0.5803,12,8.0,14.0,8.0,14.0
ISR,Israel,12,0.0001,0.4869,0.0007,0.4766,0.0015,0.4839,11,9.0,14.0,9.0,14.0
IND,India,13,0.0007,0.7582,0.0007,0.76,0.001,0.7711,13,9.0,14.0,9.0,14.0
TWN,Taiwan,14,0.0,0.7415,0.0012,0.7417,0.0041,0.7065,13,9.0,14.0,9.0,14.0
